PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,12807,1280702,32807,KSM,"St. Mary's, AK",AK,02,Alaska,1,12807,1280702,32807,KSM,"St. Mary's, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,12807,1280702,32807,KSM,"St. Mary's, AK",AK,02,Alaska,1,12807,1280702,32807,KSM,"St. Mary's, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,13369,1336901,33369,MLL,"Marshall, AK",AK,02,Alaska,1,13369,1336901,33369,MLL,"Marshall, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,15086,1508605,35086,SXQ,"Soldotna, AK",AK,02,Alaska,1,15086,1508605,35086,SXQ,"Soldotna, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,0.00,K3,20383,Venture Travel LLC d/b/a Taquan Air Service,06968,D,K3,Venture Travel LLC d/b/a Taquan Air Service,1,5,15741,1574101,31401,WFB,"Ketchikan, AK",AK,02,Alaska,1,15741,1574101,31401,WFB,"Ketchikan, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,0.00,K3,20383,Venture Travel LLC d/b/a Taquan Air Service,06968,D,K3,Venture Travel LLC d/b/a Taquan Air Service,1,5,15741,1574101,31401,WFB,"Ketchikan, AK",AK,02,Alaska,1,15741,1574101,31401,WFB,"Ketchikan, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,10744,1074403,30744,BRL,"Burlington, IA",IA,19,Iowa,61,10744,1074403,30744,BRL,"Burlington, IA",IA,19,Iowa,61,2026,1,1,1,L
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,11931,1193106,31931,GLH,"Greenville, MS",MS,28,Mississippi,53,11931,1193106,31931,GLH,"Greenville, MS",MS,28,Mississippi,53,2026,1,2,1,L
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,13203,1320302,33155,MCN,"Macon, GA",GA,13,Georgia,34,13203,1320302,33155,MCN,"Macon, GA",GA,13,Georgia,34,2026,1,1,1,L
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,13543,1354305,33543,MWA,"Marion/Herrin, IL",IL,17,Illinois,41,13543,1354305,33543,MWA,"Marion/Herrin, IL",IL,17,Illinois,41,2026,1,2,1,L
